STN,YYYYMMDD,DDVEC,FHVEC,FG,FHX,FHXH,FHN,FHNH,FXX,FXXH,TG,TN,TNH,TX,TXH,T10N,T10NH,SQ,SP,Q,DR,RH,RHX,RHXH,PG,PX,PXH,PN,PNH,VVN,VVNH,VVX,VVXH,NG,UG,UX,UXH,UN,UNH,EV24,TG_C,HDD,CDD,Date
278,20220221,270,70,78,100,2,40,24,190,2,57,25,11,79,14,25,12,3,3,208,52,94,25,10,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,79,94,12,67,8,3,5.7,12.3,0.0,2022-02-21
278,20220222,251,42,47,70,16,30,5,130,17,64,28,8,97,16,17,12,14,14,309,22,29,18,17,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,86,93,17,78,19,4,6.4,11.6,0.0,2022-02-22
278,20220223,228,43,44,70,12,20,18,120,13,74,29,7,112,15,13,12,93,89,1079,0,0,0,1,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,72,90,6,56,14,15,7.4,10.6,0.0,2022-02-23
278,20220224,227,51,55,90,15,40,7,170,15,59,12,23,106,12,2,24,26,25,506,19,29,18,15,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,77,92,17,61,13,7,5.9,12.1,0.0,2022-02-24
278,20220225,262,37,45,70,11,20,22,160,13,42,17,1,85,13,-2,24,65,62,777,9,13,9,13,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,83,95,22,68,12,10,4.2,13.8,0.0,2022-02-25
278,20220226,134,9,16,30,1,0,5,50,13,22,-28,7,86,14,-53,6,89,84,1089,0,0,0,1,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,85,99,5,60,13,13,2.2,15.8,0.0,2022-02-26
278,20220227,119,31,32,50,12,20,1,90,13,33,-26,3,89,15,-50,6,98,92,1221,0,0,0,1,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,70,94,3,48,15,15,3.3,14.7,0.0,2022-02-27
278,20220228,141,24,25,40,11,10,19,80,15,36,-30,6,102,16,-70,6,99,92,1229,0,0,0,1,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,67,92,5,42,15,15,3.6,14.4,0.0,2022-02-28
278,20220301,160,13,17,30,9,0,19,60,10,54,1,4,90,14,-33,6,33,30,679,0,0,0,1,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,66,82,20,51,13,9,5.4,12.6,0.0,2022-03-01
278,20220302,74,21,22,40,11,10,1,70,16,53,-3,24,109,15,-44,24,77,71,1110,0,0,0,1,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,69,88,6,45,14,14,5.3,12.7,0.0,2022-03-02
278,20220303,86,32,32,50,11,10,1,80,11,31,-31,6,109,14,-64,6,100,91,1289,0,0,0,1,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,70,88,3,40,13,15,3.1,14.9,0.0,2022-03-03
278,20220304,87,35,35,60,16,20,1,90,16,14,-30,6,79,15,-50,6,99,90,1326,0,0,0,1,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,80,93,4,51,15,15,1.4,16.6,0.0,2022-03-04
278,20220305,77,24,25,40,9,10,18,60,9,12,-45,6,75,15,-71,6,100,90,1281,0,0,0,1,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,76,90,3,54,15,14,1.2,16.8,0.0,2022-03-05
278,20220306,39,26,27,50,10,0,23,100,15,16,-21,24,62,15,-49,24,97,87,1296,0,0,0,1,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,73,90,23,49,13,15,1.6,16.4,0.0,2022-03-06
278,20220307,80,17,19,50,16,0,1,80,16,14,-49,6,78,14,-89,6,102,91,1406,0,0,0,1,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,76,98,3,51,16,16,1.4,16.6,0.0,2022-03-07
278,20220308,119,31,32,60,12,10,1,120,13,33,-43,3,105,15,-70,6,103,91,1389,0,0,0,1,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,62,91,3,36,13,17,3.3,14.7,0.0,2022-03-08
278,20220309,138,23,23,40,10,10,18,70,9,41,-43,6,129,16,-71,6,101,89,1416,0,0,0,1,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,59,85,24,29,16,17,4.1,13.9,0.0,2022-03-09
278,20220310,127,26,28,50,14,10,5,80,12,69,-39,6,156,15,-58,6,103,90,1392,0,0,0,1,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,54,85,2,31,15,19,6.9,11.1,0.0,2022-03-10
278,20220311,116,47,47,60,9,30,19,110,13,85,28,6,141,15,13,6,104,90,1402,0,0,0,1,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,50,70,6,38,16,20,8.5,9.5,0.0,2022-03-11
278,20220312,150,26,30,50,11,10,19,100,11,99,55,20,145,16,20,24,86,74,1126,0,0,0,1,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,57,83,20,39,2,16,9.9,8.1,0.0,2022-03-12
278,20220313,130,27,30,40,10,20,5,90,14,110,53,6,166,16,35,6,81,70,1219,0,0,0,1,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,56,71,2,41,15,18,11.0,7.0,0.0,2022-03-13
278,20220314,238,21,25,50,12,0,20,90,13,87,15,23,135,14,-13,24,34,29,661,0,0,0,1,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,79,99,23,59,14,9,8.7,9.3,0.0,2022-03-14
278,20220315,109,13,14,30,13,0,1,50,14,60,7,3,129,16,-18,24,38,32,730,0,0,0,1,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,86,99,4,60,15,10,6.0,12.0,0.0,2022-03-15
278,20220316,123,34,34,50,10,0,2,100,11,85,-15,6,144,13,-35,6,63,53,1232,0,0,0,1,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,72,99,2,53,12,17,8.5,9.5,0.0,2022-03-16
278,20220317,278,25,33,60,7,0,19,130,5,74,-7,24,115,4,-45,24,65,55,1113,6,5,5,5,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,76,98,21,53,16,15,7.4,10.6,0.0,2022-03-17
278,20220318,54,16,17,40,14,0,1,70,13,68,-23,6,149,15,-55,6,108,90,1509,0,0,0,1,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,78,99,7,51,14,20,6.8,11.2,0.0,2022-03-18
278,20220319,72,48,48,80,14,20,2,130,13,76,31,5,129,13,11,6,110,91,1633,0,0,0,1,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,62,86,3,33,13,22,7.6,10.4,0.0,2022-03-19
278,20220320,93,32,40,80,9,10,17,130,12,47,-3,24,101,14,-18,24,47,39,805,16,26,18,16,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,76,99,20,45,13,10,4.7,13.3,0.0,2022-03-20
278,20220321,103,9,13,30,15,0,6,60,15,68,-27,5,160,16,-42,6,105,86,1568,0,0,0,1,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,79,100,8,50,12,21,6.8,11.2,0.0,2022-03-21
278,20220322,95,12,14,30,14,0,19,50,13,99,15,5,191,15,-2,24,113,92,1528,0,0,0,1,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,72,97,5,39,14,22,9.9,8.1,0.0,2022-03-22
278,20220323,73,10,11,30,11,0,1,60,11,92,12,6,185,13,-33,6,113,92,1665,0,0,0,1,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,63,95,5,29,12,24,9.2,8.8,0.0,2022-03-23
278,20220324,360,11,11,30,18,0,1,60,18,92,-5,6,181,13,-48,6,113,91,1674,0,0,0,1,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,64,96,6,26,12,24,9.2,8.8,0.0,2022-03-24
278,20220325,28,14,16,30,12,0,5,60,14,80,-14,5,169,15,-38,6,95,76,1590,0,0,0,1,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,71,99,5,37,16,22,8.0,10.0,0.0,2022-03-25
278,20220326,358,17,18,30,11,0,1,70,14,95,4,4,177,14,-26,6,115,92,1719,0,0,0,1,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,75,97,6,46,12,25,9.5,8.5,0.0,2022-03-26
278,20220327,41,18,19,30,1,0,6,50,2,84,18,6,155,16,-10,6,95,75,1683,0,0,0,1,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,77,99,6,46,16,24,8.4,9.6,0.0,2022-03-27
278,20220328,18,14,16,20,3,10,1,50,23,70,26,1,131,17,1,6,57,45,1203,0,0,0,1,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,88,99,2,65,16,16,7.0,11.0,0.0,2022-03-28
278,20220329,40,16,18,30,15,10,1,70,14,70,5,24,132,16,-27,24,66,52,1354,0,0,0,1,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,79,96,24,52,14,18,7.0,11.0,0.0,2022-03-29
278,20220330,38,23,23,40,15,0,2,70,10,49,-8,5,90,13,-28,6,42,33,1139,29,12,5,23,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,80,99,2,57,14,14,4.9,13.1,0.0,2022-03-30
278,20220331,41,30,34,80,22,10,8,140,19,15,-3,24,41,19,-2,24,0,0,216,199,178,26,12,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,92,99,16,66,21,2,1.5,16.5,0.0,2022-03-31
278,20220401,36,52,53,70,12,30,21,140,13,21,-5,3,40,16,-3,6,17,13,1052,37,10,3,1,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,73,96,1,56,17,12,2.1,15.9,0.0,2022-04-01
278,20220402,21,29,32,50,9,10,21,120,16,21,-37,24,65,13,-79,24,57,44,1252,0,0,0,1,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,66,91,24,46,17,14,2.1,15.9,0.0,2022-04-02
278,20220403,271,26,29,50,13,10,1,90,11,32,-40,1,94,16,-77,6,90,69,1603,0,0,0,1,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,77,93,2,53,15,19,3.2,14.8,0.0,2022-04-03
278,20220404,239,56,60,100,10,20,21,170,8,64,15,1,94,18,2,6,0,0,346,146,172,22,21,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,87,96,16,68,7,5,6.4,11.6,0.0,2022-04-04
278,20220405,255,39,41,60,11,20,5,120,15,90,69,5,111,13,68,6,0,0,366,58,26,5,16,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,92,97,6,85,13,5,9.0,9.0,0.0,2022-04-05
278,20220406,222,63,63,70,8,50,1,140,22,94,86,6,101,23,80,6,3,2,375,37,18,4,16,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,84,92,15,76,6,5,9.4,8.6,0.0,2022-04-06
278,20220407,249,79,84,130,14,60,2,230,14,81,36,7,111,14,37,12,29,22,873,94,166,53,7,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,78,89,7,58,13,12,8.1,9.9,0.0,2022-04-07
278,20220408,269,39,43,60,1,30,19,120,1,60,25,6,93,13,15,6,63,47,1328,10,9,9,1,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,74,88,1,60,10,17,6.0,12.0,0.0,2022-04-08
278,20220409,282,43,46,80,12,20,20,170,14,48,17,24,87,11,5,24,80,59,1452,35,48,12,18,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,81,91,21,69,11,18,4.8,13.2,0.0,2022-04-09
278,20220410,284,22,26,50,9,0,20,90,9,52,1,24,106,15,-31,24,103,76,1918,5,5,5,6,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,74,94,24,49,14,24,5.2,12.8,0.0,2022-04-10
278,20220411,95,26,26,50,16,0,1,90,16,81,-1,4,148,15,-35,6,97,71,1911,0,0,0,1,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,65,96,4,38,15,27,8.1,9.9,0.0,2022-04-11
278,20220412,126,24,28,40,2,10,18,80,12,130,36,3,211,16,19,6,84,61,1765,0,0,0,1,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,63,85,3,37,16,28,13.0,5.0,0.0,2022-04-12
278,20220413,242,11,15,30,12,0,6,60,12,129,80,6,178,12,52,6,8,6,911,4,1,1,15,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,81,98,23,63,12,14,12.9,5.1,0.0,2022-04-13
278,20220414,297,18,23,40,12,10,1,80,12,120,50,24,181,13,19,24,98,71,1743,0,0,0,1,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,80,99,5,53,12,27,12.0,6.0,0.0,2022-04-14
278,20220415,39,14,17,30,9,10,1,50,8,79,38,4,109,16,1,6,0,0,510,0,0,0,1,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,84,99,3,71,17,7,7.9,10.1,0.0,2022-04-15
278,20220416,85,33,34,60,13,0,1,90,10,87,26,3,142,14,-17,6,116,83,2001,0,0,0,1,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,68,98,1,37,15,28,8.7,9.3,0.0,2022-04-16
278,20220417,115,21,24,40,13,10,1,80,13,94,-5,5,174,15,-31,6,132,94,2349,0,0,0,1,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,56,91,5,25,16,34,9.4,8.6,0.0,2022-04-17
278,20220418,124,17,18,30,1,10,3,60,13,114,12,5,199,15,-16,6,128,91,2297,0,0,0,1,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,53,86,24,28,15,35,11.4,6.6,0.0,2022-04-18
278,20220419,71,26,27,60,13,0,3,100,12,113,20,4,172,14,-9,6,130,92,2297,0,0,0,1,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,60,90,4,37,12,35,11.3,6.699999999999999,0.0,2022-04-19
278,20220420,68,32,33,50,9,10,3,100,13,109,42,5,170,15,-3,6,130,91,2308,0,0,0,1,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,58,77,4,40,9,35,10.9,7.1,0.0,2022-04-20
278,20220421,69,38,39,70,10,20,1,130,10,119,47,4,170,13,16,6,95,66,2069,0,0,0,1,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,61,83,5,40,12,32,11.9,6.1,0.0,2022-04-21
278,20220422,75,47,48,80,15,30,4,130,15,126,73,5,178,14,64,6,114,79,2072,0,0,0,1,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,64,86,4,45,12,32,12.6,5.4,0.0,2022-04-22
278,20220423,78,55,56,90,10,30,2,140,11,129,86,3,175,15,73,6,126,87,2278,0,0,0,1,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,60,82,2,41,16,36,12.9,5.1,0.0,2022-04-23
278,20220424,40,37,39,50,7,20,22,110,17,110,62,24,169,14,42,24,115,79,2184,0,0,0,1,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,63,86,24,40,13,33,11.0,7.0,0.0,2022-04-24
278,20220425,42,23,25,30,5,10,1,70,9,85,61,1,112,16,48,6,5,3,470,0,-1,-1,1,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,79,90,4,66,22,7,8.5,9.5,0.0,2022-04-25
278,20220426,348,25,27,40,7,0,21,80,7,87,16,24,143,14,-29,24,81,55,1975,0,0,0,1,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,71,95,24,47,13,28,8.7,9.3,0.0,2022-04-26
278,20220427,352,9,11,30,14,0,1,60,12,69,-9,5,134,13,-38,6,85,58,1863,0,0,0,1,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,74,98,3,48,13,25,6.9,11.1,0.0,2022-04-27
278,20220428,39,20,20,40,16,0,1,70,9,81,-2,4,151,14,-45,6,93,63,2203,0,0,0,1,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,73,98,1,52,13,31,8.1,9.9,0.0,2022-04-28
278,20220429,23,22,23,40,13,0,24,70,8,78,26,24,120,16,0,24,31,21,1359,0,0,0,1,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,75,93,3,58,16,19,7.8,10.2,0.0,2022-04-29
